Modèle;Bibliothèque;Dossier;Usage;Protection
Bibliothèque Centrale;Clients;;Fiches clients;Interne
Bibliothèque Centrale;Projets;;Fiches projets;Interne
Bibliothèque Centrale;Sites;;Fiches sites;Interne
Bibliothèque Centrale;Domaines;;Fiches domaines;Interne
Bibliothèque Centrale;Médias;;Médias réutilisables;Selon droits
Client;Documents;Devis;Devis client;Client autorisé
Client;Documents;Factures;Factures client;Client autorisé
Client;Documents;Médias;Fichiers média;Client autorisé
Client;Documents;Archives;Archives;Interne ou client selon cas
