"id";"Title";"IDGeoSource";"NomSource";"TypeSource";"FichierSource";"CheminFichier";"VersionSource";"DateCreationSource";"DateDernierControle";"DateDernierImport";"NbLignes";"NbCreations";"NbMaj";"NbErreurs";"StatutSource";"DetailsSource";"Verrouille";"ValidationDSE";"ControlePascAra";"AnomalieDetectee";"NotesDSE";"CSVPresent";"DateDerniereDetection";"OBJREF";"Modified";"Created";"Author";"Editor"
"1";"GEO-CONTINENTS";"SRC-GEO-000001";"GEO-CONTINENTS";"CSV";"GEO-CONTINENTS.csv";"";"1.0";"10/09/2026 09:50:13";"";"";"";"";"";"";"ACTIF";"Source GEO enregistrée automatiquement";"Non";"Non";"Non";"Non";"";"Oui";"10/09/2026 09:50:13";"";"09/10/2026 07:50:16";"09/10/2026 07:50:16";"UserId:11";"UserId:11"
"2";"GEO-DEVISES";"SRC-GEO-000002";"GEO-DEVISES";"CSV";"GEO-DEVISES-IMPORT.csv";"";"1.0";"10/09/2026 09:50:13";"";"10/09/2026 09:59:22";"154";"154";"0";"0";"ACTIF";"Source GEO enregistrée automatiquement";"Non";"Non";"Non";"Non";"";"Oui";"10/09/2026 09:50:13";"";"09/10/2026 08:03:10";"09/10/2026 07:50:17";"UserId:11";"UserId:11"
"3";"GEO-LANGUES";"SRC-GEO-000003";"GEO-LANGUES";"CSV";"GEO-LANGUES.csv";"";"1.0";"10/09/2026 09:50:13";"";"10/09/2026 10:25:23";"112";"0";"0";"0";"ACTIF";"Source GEO enregistrée automatiquement";"Non";"Non";"Non";"Non";"";"Oui";"10/09/2026 09:50:13";"";"09/10/2026 08:26:50";"09/10/2026 07:50:20";"UserId:11";"UserId:11"
"4";"GEO-PAYS";"SRC-GEO-000004";"GEO-PAYS";"CSV";"GEO-PAYS-IMPORT.csv";"";"1.0";"10/09/2026 09:50:13";"";"";"";"";"";"";"ACTIF";"Source GEO enregistrée automatiquement";"Non";"Non";"Non";"Non";"";"Oui";"10/09/2026 09:50:13";"";"09/10/2026 07:50:22";"09/10/2026 07:50:22";"UserId:11";"UserId:11"
"5";"GEO-CAPITALES";"SRC-GEO-000005";"GEO-CAPITALES";"CSV";"GEO-CAPITALES.csv";"";"1.0";"10/09/2026 09:50:13";"";"";"";"";"";"";"ACTIF";"Source GEO enregistrée automatiquement";"Non";"Non";"Non";"Non";"";"Oui";"10/09/2026 09:50:13";"";"09/10/2026 07:50:25";"09/10/2026 07:50:25";"UserId:11";"UserId:11"
"6";"GEO-VILLES";"SRC-GEO-000006";"GEO-VILLES";"CSV";"GEO-communes-france-2026.csv";"";"1.0";"10/09/2026 09:50:13";"";"10/09/2026 19:03:11";"34868";"34868";"0";"0";"ACTIF";"Source GEO enregistrée automatiquement";"Non";"Non";"Non";"Non";"";"Oui";"10/09/2026 19:03:11";"";"09/10/2026 17:03:13";"09/10/2026 07:50:26";"UserId:11";"UserId:11"
