Objet;Champ;Valeurs officielles;Valeur par défaut
Relation;Type_Relation;Prospect | Client | Association | Partenaire | Fournisseur | Administration | Interne | Autre;Prospect
Relation;Statut;Prospect | Actif | En pause | Suspendu | Archivé;Prospect
Client;Type_Client;Prospect | Client | Association | Partenaire | Interne;Prospect
Projet;Type_Projet;Site internet | Affiche | Identité visuelle | Publipostage | Microsoft 365 | SharePoint | Teams | Développement | Marketing | Autre;Autre
Projet;Statut;Brouillon | Préparation | En cours | En attente | Validé | Terminé | Suspendu | Archivé;Brouillon
Site;Type_Site;Site vitrine | Boutique e-commerce | Blog | Portail client | Association | Intranet | Application web | Autre;Site vitrine
Domaine;Type_Domaine;Domaine principal | Domaine alias | Domaine de redirection | Domaine technique;Domaine principal
Utilisateur;Role_Principal;Super Administrateur | Administrateur | Collaborateur | Client | Modérateur | Lecture seule;Client
Teams;Type_Canal;Standard | Privé | Partagé;Standard
