"id";"Title";"NOMSCRIPT";"ORDREEXECUTION";"DOMAINE";"FONCTIONPRINCIPALE";"STATUTCATALOGUE";"VERSIONCIBLE";"SOURCEOFFICIELLE";"NOTES";"OBJREF";"CODESCRIPT";"DESCRIPTIONSCRIPT";"VERSIONSCRIPT";"CHEMINSCRIPT";"TYPESCRIPTREF";"STATUTSCRIPTREF";"JOURNALISATIONREF";"EXISTENCESCRIPTREF";"ACTIFREF";"VERROUILLEREF";"Modified";"Created";"Author";"Editor"
"1";"10-00";"10-00.ps1";"0";"AUDITS";"Orchestrer dynamiquement les scripts actifs du groupe 10.";"ACTIF";"1.0.0";"10-AUDITS/10-00.ps1";"Reference creee et validee dans OBJ-REF.";"DSE-SCR-10-00";"10-00";"";"";"10-AUDITS\10-00.ps1";"";"";"";"";"";"";"09/19/2026 08:40:06";"09/18/2026 08:18:54";"UserId:11";"UserId:11"
"2";"10-01";"10-01.ps1";"1";"AUDITS";"Auditer les listes, bibliotheques et colonnes SharePoint en lecture seule.";"ACTIF";"1.0.0";"10-AUDITS/10-01.ps1";"Reference creee et validee dans OBJ-REF.";"DSE-SCR-10-01";"10-01";"";"";"10-AUDITS\10-01.ps1";"";"";"";"";"";"";"09/19/2026 08:40:07";"09/18/2026 08:18:55";"UserId:11";"UserId:11"
