Titre - Territoire;ID GEO Territoire;Code Territoire;Type Territoire;Chef-lieu;Pays de rattachement;Continent;Zone;Description Territoire;Actif;Ordre Affichage;Validation DSE;Source
Saint-Pierre-et-Miquelon;ID-GEO-TER-000001;975;COLLECTIVITE-OUTRE-MER;Saint-Pierre;France;Amérique du Nord;Caraïbes;Territoire français d’outre-mer ou territoire spécifique Saint-Pierre-et-Miquelon, code COG 975.;Oui;10;Non;https://www.insee.fr/fr/information/7929495
Saint-Barthélemy;ID-GEO-TER-000002;977;COLLECTIVITE-OUTRE-MER;Gustavia;France;Amérique du Nord;Caraïbes;Territoire français d’outre-mer ou territoire spécifique Saint-Barthélemy, code COG 977.;Oui;20;Non;https://www.insee.fr/fr/information/7929495
Saint-Martin;ID-GEO-TER-000003;978;COLLECTIVITE-OUTRE-MER;Marigot;France;Amérique du Nord;Caraïbes;Territoire français d’outre-mer ou territoire spécifique Saint-Martin, code COG 978.;Oui;30;Non;https://www.insee.fr/fr/information/7929495
Île des Faisans;ID-GEO-TER-000004;981;TERRITOIRE-PARTAGE;;France / Espagne;Europe;Europe de l’Ouest;Territoire français d’outre-mer ou territoire spécifique Île des Faisans, code COG 981.;Oui;40;Non;https://www.insee.fr/fr/information/7929495
Terres australes et antarctiques françaises;ID-GEO-TER-000005;984;TERRITOIRE-OUTRE-MER;Saint-Pierre, La Réunion;France;Antarctique;Antarctique;Territoire français d’outre-mer ou territoire spécifique Terres australes et antarctiques françaises, code COG 984.;Oui;50;Non;https://www.insee.fr/fr/information/7929495
Wallis-et-Futuna;ID-GEO-TER-000006;986;COLLECTIVITE-OUTRE-MER;Mata-Utu;France;Océanie;Polynésie;Territoire français d’outre-mer ou territoire spécifique Wallis-et-Futuna, code COG 986.;Oui;60;Non;https://www.insee.fr/fr/information/7929495
Polynésie française;ID-GEO-TER-000007;987;COLLECTIVITE-OUTRE-MER;Papeete;France;Océanie;Polynésie;Territoire français d’outre-mer ou territoire spécifique Polynésie française, code COG 987.;Oui;70;Non;https://www.insee.fr/fr/information/7929495
Nouvelle-Calédonie;ID-GEO-TER-000008;988;COLLECTIVITE-SUI-GENERIS;Nouméa;France;Océanie;Mélanésie;Territoire français d’outre-mer ou territoire spécifique Nouvelle-Calédonie, code COG 988.;Oui;80;Non;https://www.insee.fr/fr/information/7929495
La Passion-Clipperton;ID-GEO-TER-000009;989;TERRITOIRE-OUTRE-MER;;France;Amérique du Nord;Amérique centrale;Territoire français d’outre-mer ou territoire spécifique La Passion-Clipperton, code COG 989.;Oui;90;Non;https://www.insee.fr/fr/information/7929495
