Titre - Devise;ID GEO Devise;Code Devise;Symbole Devise;Pays;Continent;Actif;Ordre Affichage;Validation DSE
South Korean won;ID-GEO-DEV-000070;KRW;₩;Corée du Sud;Asie;Oui;70;Non
Kuwaiti dinar;ID-GEO-DEV-000071;KWD;د.ك;Koweït;Asie;Oui;71;Non
Cayman Islands dollar;ID-GEO-DEV-000072;KYD;$;Îles Caïmans;Amérique du Nord;Oui;72;Non
Kazakhstani tenge;ID-GEO-DEV-000073;KZT;₸;Kazakhstan;Asie;Oui;73;Non
Lao kip;ID-GEO-DEV-000074;LAK;₭;Laos;Asie;Oui;74;Non
Lebanese pound;ID-GEO-DEV-000075;LBP;ل.ل;Liban;Asie;Oui;75;Non
Sri Lankan rupee;ID-GEO-DEV-000076;LKR;Rs;Sri Lanka;Asie;Oui;76;Non
Liberian dollar;ID-GEO-DEV-000077;LRD;$;Liberia;Afrique;Oui;77;Non
Lesotho loti;ID-GEO-DEV-000078;LSL;L;Lesotho;Afrique;Oui;78;Non
Libyan dinar;ID-GEO-DEV-000079;LYD;ل.د;Libye;Afrique;Oui;79;Non
Moroccan dirham;ID-GEO-DEV-000080;MAD;د.م.;Maroc | Sahara Occidental;Afrique;Oui;80;Non
Moldovan leu;ID-GEO-DEV-000081;MDL;L;Moldova;Europe;Oui;81;Non
Malagasy ariary;ID-GEO-DEV-000082;MGA;Ar;Madagascar;Afrique;Oui;82;Non
Macedonian denar;ID-GEO-DEV-000083;MKD;ден;Macédoine;Europe;Oui;83;Non
Burmese kyat;ID-GEO-DEV-000084;MMK;K;Myanmar;Asie;Oui;84;Non
Mongolian tögrög;ID-GEO-DEV-000085;MNT;₮;Mongolie;Asie;Oui;85;Non
Macanese pataca;ID-GEO-DEV-000086;MOP;MOP$;Macao;Asie;Oui;86;Non
Mauritanian ouguiya;ID-GEO-DEV-000087;MRU;UM;Mauritanie | Sahara Occidental;Afrique;Oui;87;Non
Mauritian rupee;ID-GEO-DEV-000088;MUR;₨;Île Maurice;Afrique;Oui;88;Non
Maldivian rufiyaa;ID-GEO-DEV-000089;MVR;Rf;Maldives;Asie;Oui;89;Non
Malawian kwacha;ID-GEO-DEV-000090;MWK;MK;Malawi;Afrique;Oui;90;Non
Mexican peso;ID-GEO-DEV-000091;MXN;$;Mexique;Amérique du Nord;Oui;91;Non
Malaysian ringgit;ID-GEO-DEV-000092;MYR;RM;Malaisie;Asie;Oui;92;Non
