Titre - Langue;ID GEO Langue;Code Langue;Code ISO 639-1;Pays;Continent;Actif;Ordre Affichage;Validation DSE
Italien;ID-GEO-LAN-000039;IT;it;Italie | Saint-Marin | Saint-Siège | Suisse;Europe;Oui;39;Non
Japonais;ID-GEO-LAN-000040;JA;ja;Japon;Asie;Oui;40;Non
Géorgien;ID-GEO-LAN-000041;KA;ka;Géorgie;Asie;Oui;41;Non
Kikongo;ID-GEO-LAN-000042;KG;kg;République démocratique du Congo;Afrique;Oui;42;Non
Kazakh;ID-GEO-LAN-000043;KK;kk;Kazakhstan;Asie;Oui;43;Non
Groenlandais;ID-GEO-LAN-000044;KL;kl;Groenland;Amérique du Nord;Oui;44;Non
Khmer;ID-GEO-LAN-000045;KM;km;Cambodge;Asie;Oui;45;Non
Coréen;ID-GEO-LAN-000046;KO;ko;Corée du Nord | Corée du Sud;Asie;Oui;46;Non
Kurde;ID-GEO-LAN-000047;KU;ku;Irak;Asie;Oui;47;Non
Kirghize;ID-GEO-LAN-000048;KY;ky;Kirghizistan;Asie;Oui;48;Non
Latin;ID-GEO-LAN-000049;LA;la;Saint-Siège;Europe;Oui;49;Non
Luxembourgeois;ID-GEO-LAN-000050;LB;lb;Luxembourg;Europe;Oui;50;Non
Lingala;ID-GEO-LAN-000051;LN;ln;Congo | République démocratique du Congo;Afrique;Oui;51;Non
Lao;ID-GEO-LAN-000052;LO;lo;Laos;Asie;Oui;52;Non
Lituanien;ID-GEO-LAN-000053;LT;lt;Lituanie;Europe;Oui;53;Non
Tshiluba;ID-GEO-LAN-000054;LU;lu;République démocratique du Congo;Afrique;Oui;54;Non
Letton;ID-GEO-LAN-000055;LV;lv;Lettonie;Europe;Oui;55;Non
Malgache;ID-GEO-LAN-000056;MG;mg;Madagascar;Afrique;Oui;56;Non
Marshallais;ID-GEO-LAN-000057;MH;mh;Îles Marshall;Océanie;Oui;57;Non
Maori;ID-GEO-LAN-000058;MI;mi;Nouvelle-Zélande;Océanie;Oui;58;Non
Macédonien;ID-GEO-LAN-000059;MK;mk;Macédoine;Europe;Oui;59;Non
Mongol;ID-GEO-LAN-000060;MN;mn;Mongolie;Asie;Oui;60;Non
Malais;ID-GEO-LAN-000061;MS;ms;Brunéi Darussalam | Singapour;Asie;Oui;61;Non
Maltais;ID-GEO-LAN-000062;MT;mt;Malte;Europe;Oui;62;Non
Birman;ID-GEO-LAN-000063;MY;my;Myanmar;Asie;Oui;63;Non
Nauruan;ID-GEO-LAN-000064;NA;na;Nauru;Océanie;Oui;64;Non
Norvégien bokmål;ID-GEO-LAN-000065;NB;nb;Norvège;Europe;Oui;65;Non
Sindebele;ID-GEO-LAN-000066;ND;nd;Zimbabwe;Afrique;Oui;66;Non
Népalais;ID-GEO-LAN-000067;NE;ne;Népal;Asie;Oui;67;Non
Néerlandais;ID-GEO-LAN-000068;NL;nl;Aruba | Belgique | Bonaire, Saint-Eustache et Saba | Curaçao | Pays-Bas | Saint-Martin (partie néerlandaise) | Surinam;Amérique du Nord | Amérique du Sud | Europe;Oui;68;Non
Norvégien nynorsk;ID-GEO-LAN-000069;NN;nn;Norvège;Europe;Oui;69;Non
Norvégien;ID-GEO-LAN-000070;NO;no;Norvège | Svalbard et Jan Mayen | Île Bouvet;Antarctique | Europe;Oui;70;Non
Ndébélé du Sud;ID-GEO-LAN-000071;NR;nr;Afrique du Sud;Afrique;Oui;71;Non
Chichewa;ID-GEO-LAN-000072;NY;ny;Malawi;Afrique;Oui;72;Non
Pendjabi;ID-GEO-LAN-000073;PA;pa;Aruba;Amérique du Nord;Oui;73;Non
Polonais;ID-GEO-LAN-000074;PL;pl;Pologne;Europe;Oui;74;Non
Pachto;ID-GEO-LAN-000075;PS;ps;Afghanistan;Asie;Oui;75;Non
Portugais;ID-GEO-LAN-000076;PT;pt;Angola | Brésil | Cap-Vert | Guinée-Bissau | Macao | Mozambique | Portugal | Sao Tomé-et-Principe | Timor oriental;Afrique | Amérique du Sud | Asie | Europe;Oui;76;Non
Quechua;ID-GEO-LAN-000077;QU;qu;Bolivie;Amérique du Sud;Oui;77;Non
Kirundi;ID-GEO-LAN-000078;RN;rn;Burundi;Afrique;Oui;78;Non
Roumain;ID-GEO-LAN-000079;RO;ro;Moldova | Roumanie;Europe;Oui;79;Non
Serbe;ID-GEO-LAN-000080;RS;rs;Serbie;Europe;Oui;80;Non
Russe;ID-GEO-LAN-000081;RU;ru;Arménie | Bélarus | Kazakhstan | Kirghizistan | Ouzbékistan | Russie | Tadjikistan | Turkménistan;Asie | Europe;Oui;81;Non
Kinyarwanda;ID-GEO-LAN-000082;RW;rw;Rwanda;Afrique;Oui;82;Non
Sango;ID-GEO-LAN-000083;SG;sg;République centrafricaine;Afrique;Oui;83;Non
Singhalais;ID-GEO-LAN-000084;SI;si;Sri Lanka;Asie;Oui;84;Non
Slovaque;ID-GEO-LAN-000085;SK;sk;Slovaquie | Tchéquie;Europe;Oui;85;Non
