"id";"Title";"IDGeoLangue";"CodeLangue";"CodeISO6391";"Actif";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"OrdreAffichage";"NotesDSE";"Pays";"Continent";"OBJREF";"Modified";"Created";"Author";"Editor"
"79";"Roumain";"ID-GEO-LAN-000079";"RO";"ro";"Oui";"Non";"Non";"Non";"Non";"79";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Moldova | Roumanie";"Europe";"";"09/10/2026 05:51:15";"09/10/2026 05:51:15";"UserId:11";"UserId:11"
"80";"Serbe";"ID-GEO-LAN-000080";"RS";"rs";"Oui";"Non";"Non";"Non";"Non";"80";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Serbie";"Europe";"";"09/10/2026 05:51:17";"09/10/2026 05:51:17";"UserId:11";"UserId:11"
"81";"Russe";"ID-GEO-LAN-000081";"RU";"ru";"Oui";"Non";"Non";"Non";"Non";"81";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Arménie | Bélarus | Kazakhstan | Kirghizistan | Ouzbékistan | Russie | Tadjikistan | Turkménistan";"Asie | Europe";"";"09/10/2026 05:51:19";"09/10/2026 05:51:19";"UserId:11";"UserId:11"
"82";"Kinyarwanda";"ID-GEO-LAN-000082";"RW";"rw";"Oui";"Non";"Non";"Non";"Non";"82";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Rwanda";"Afrique";"";"09/10/2026 05:51:22";"09/10/2026 05:51:22";"UserId:11";"UserId:11"
"83";"Sango";"ID-GEO-LAN-000083";"SG";"sg";"Oui";"Non";"Non";"Non";"Non";"83";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"République centrafricaine";"Afrique";"";"09/10/2026 05:51:23";"09/10/2026 05:51:23";"UserId:11";"UserId:11"
"84";"Singhalais";"ID-GEO-LAN-000084";"SI";"si";"Oui";"Non";"Non";"Non";"Non";"84";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Sri Lanka";"Asie";"";"09/10/2026 05:51:25";"09/10/2026 05:51:25";"UserId:11";"UserId:11"
"85";"Slovaque";"ID-GEO-LAN-000085";"SK";"sk";"Oui";"Non";"Non";"Non";"Non";"85";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Slovaquie | Tchéquie";"Europe";"";"09/10/2026 05:51:27";"09/10/2026 05:51:27";"UserId:11";"UserId:11"
"86";"Slovène";"ID-GEO-LAN-000086";"SL";"sl";"Oui";"Non";"Non";"Non";"Non";"86";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Slovénie";"Europe";"";"09/10/2026 05:51:29";"09/10/2026 05:51:29";"UserId:11";"UserId:11"
"87";"Samoan";"ID-GEO-LAN-000087";"SM";"sm";"Oui";"Non";"Non";"Non";"Non";"87";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Samoa | Samoa américaines";"Océanie";"";"09/10/2026 05:51:32";"09/10/2026 05:51:32";"UserId:11";"UserId:11"
"88";"Shona";"ID-GEO-LAN-000088";"SN";"sn";"Oui";"Non";"Non";"Non";"Non";"88";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Zimbabwe";"Afrique";"";"09/10/2026 05:51:34";"09/10/2026 05:51:34";"UserId:11";"UserId:11"
"89";"Somali";"ID-GEO-LAN-000089";"SO";"so";"Oui";"Non";"Non";"Non";"Non";"89";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Somalie";"Afrique";"";"09/10/2026 05:51:36";"09/10/2026 05:51:36";"UserId:11";"UserId:11"
"90";"Albanais";"ID-GEO-LAN-000090";"SQ";"sq";"Oui";"Non";"Non";"Non";"Non";"90";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Albanie";"Europe";"";"09/10/2026 05:51:38";"09/10/2026 05:51:38";"UserId:11";"UserId:11"
"91";"Serbe";"ID-GEO-LAN-000091";"SR";"sr";"Oui";"Non";"Non";"Non";"Non";"91";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Bosnie-Herzégovine | Monténégro";"Europe";"";"09/10/2026 05:51:40";"09/10/2026 05:51:40";"UserId:11";"UserId:11"
"92";"Swati";"ID-GEO-LAN-000092";"SS";"ss";"Oui";"Non";"Non";"Non";"Non";"92";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Afrique du Sud | Swaziland";"Afrique";"";"09/10/2026 05:51:42";"09/10/2026 05:51:42";"UserId:11";"UserId:11"
"93";"Sotho du Sud";"ID-GEO-LAN-000093";"ST";"st";"Oui";"Non";"Non";"Non";"Non";"93";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Afrique du Sud | Lesotho";"Afrique";"";"09/10/2026 05:51:44";"09/10/2026 05:51:44";"UserId:11";"UserId:11"
"94";"Suédois";"ID-GEO-LAN-000094";"SV";"sv";"Oui";"Non";"Non";"Non";"Non";"94";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Finlande | Suède | Îles Åland";"Europe";"";"09/10/2026 05:51:46";"09/10/2026 05:51:46";"UserId:11";"UserId:11"
"95";"Swahili";"ID-GEO-LAN-000095";"SW";"sw";"Oui";"Non";"Non";"Non";"Non";"95";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Kenya | République démocratique du Congo | Tanzanie | Uganda";"Afrique";"";"09/10/2026 05:51:48";"09/10/2026 05:51:48";"UserId:11";"UserId:11"
"96";"Tamoul";"ID-GEO-LAN-000096";"TA";"ta";"Oui";"Non";"Non";"Non";"Non";"96";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Singapour | Sri Lanka";"Asie";"";"09/10/2026 05:51:50";"09/10/2026 05:51:50";"UserId:11";"UserId:11"
"97";"Tadjik";"ID-GEO-LAN-000097";"TG";"tg";"Oui";"Non";"Non";"Non";"Non";"97";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Tadjikistan";"Asie";"";"09/10/2026 05:51:52";"09/10/2026 05:51:52";"UserId:11";"UserId:11"
"98";"Thaï";"ID-GEO-LAN-000098";"TH";"th";"Oui";"Non";"Non";"Non";"Non";"98";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Thaïlande";"Asie";"";"09/10/2026 05:51:54";"09/10/2026 05:51:54";"UserId:11";"UserId:11"
"99";"Tigrigna";"ID-GEO-LAN-000099";"TI";"ti";"Oui";"Non";"Non";"Non";"Non";"99";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Érythrée";"Afrique";"";"09/10/2026 05:51:57";"09/10/2026 05:51:57";"UserId:11";"UserId:11"
"100";"Turkmène";"ID-GEO-LAN-000100";"TK";"tk";"Oui";"Non";"Non";"Non";"Non";"100";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Afghanistan | Turkménistan";"Asie";"";"09/10/2026 05:51:59";"09/10/2026 05:51:59";"UserId:11";"UserId:11"
"101";"Tswana";"ID-GEO-LAN-000101";"TN";"tn";"Oui";"Non";"Non";"Non";"Non";"101";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Afrique du Sud | Botswana";"Afrique";"";"09/10/2026 05:52:01";"09/10/2026 05:52:01";"UserId:11";"UserId:11"
"102";"Tongien";"ID-GEO-LAN-000102";"TO";"to";"Oui";"Non";"Non";"Non";"Non";"102";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Tonga";"Océanie";"";"09/10/2026 05:52:03";"09/10/2026 05:52:03";"UserId:11";"UserId:11"
"103";"Turc";"ID-GEO-LAN-000103";"TR";"tr";"Oui";"Non";"Non";"Non";"Non";"103";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Chypre | Turquie";"Asie | Europe";"";"09/10/2026 05:52:05";"09/10/2026 05:52:05";"UserId:11";"UserId:11"
"104";"Tsonga";"ID-GEO-LAN-000104";"TS";"ts";"Oui";"Non";"Non";"Non";"Non";"104";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Afrique du Sud";"Afrique";"";"09/10/2026 05:52:07";"09/10/2026 05:52:07";"UserId:11";"UserId:11"
"105";"Ukrainien";"ID-GEO-LAN-000105";"UK";"uk";"Oui";"Non";"Non";"Non";"Non";"105";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Ukraine";"Europe";"";"09/10/2026 05:52:09";"09/10/2026 05:52:09";"UserId:11";"UserId:11"
"106";"Ourdou";"ID-GEO-LAN-000106";"UR";"ur";"Oui";"Non";"Non";"Non";"Non";"106";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Fidji | Pakistan";"Asie | Océanie";"";"09/10/2026 05:52:11";"09/10/2026 05:52:11";"UserId:11";"UserId:11"
"107";"Ouzbek";"ID-GEO-LAN-000107";"UZ";"uz";"Oui";"Non";"Non";"Non";"Non";"107";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Afghanistan | Ouzbékistan";"Asie";"";"09/10/2026 05:52:13";"09/10/2026 05:52:13";"UserId:11";"UserId:11"
"108";"Venda";"ID-GEO-LAN-000108";"VE";"ve";"Oui";"Non";"Non";"Non";"Non";"108";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Afrique du Sud";"Afrique";"";"09/10/2026 05:52:16";"09/10/2026 05:52:16";"UserId:11";"UserId:11"
"109";"Vietnamien";"ID-GEO-LAN-000109";"VI";"vi";"Oui";"Non";"Non";"Non";"Non";"109";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Viêt Nam";"Asie";"";"09/10/2026 05:52:18";"09/10/2026 05:52:18";"UserId:11";"UserId:11"
"110";"Xhosa";"ID-GEO-LAN-000110";"XH";"xh";"Oui";"Non";"Non";"Non";"Non";"110";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Afrique du Sud";"Afrique";"";"09/10/2026 05:52:20";"09/10/2026 05:52:20";"UserId:11";"UserId:11"
"111";"Chinois";"ID-GEO-LAN-000111";"ZH";"zh";"Oui";"Non";"Non";"Non";"Non";"111";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Chine | Hong Kong | Macao | Singapour | Taïwan";"Asie";"";"09/10/2026 05:52:22";"09/10/2026 05:52:22";"UserId:11";"UserId:11"
"112";"Zoulou";"ID-GEO-LAN-000112";"ZU";"zu";"Oui";"Non";"Non";"Non";"Non";"112";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Afrique du Sud";"Afrique";"";"09/10/2026 05:52:24";"09/10/2026 05:52:24";"UserId:11";"UserId:11"
